pdb	chain	pLDDT_before	pLDDT_after	tm_score_before	tm_score_after	lddt_before	lddt_after
8g7c	A	21.44		0.22294		0.2353959958263772	
8oq3	A						
8pwh	E	85.99		0.89864		0.842570289015232	
8smv	A	83.41		0.28335		0.7847387863441817	
8ssz	C	84.67		0.9006		0.8766747139463851	
8st0	C	84.67		0.90198		0.8787432175759112	
8st1	B	79.44		0.95731		0.9174774918091467	
8st2	B	79.02		0.96105		0.9180520579021129	
8st3	C	80.91		0.93763		0.9020760829608795	
8st4	C	85.98		0.9329		0.891893003008088	
8cbd	R	27.42	33.74	0.26664	0.34008	0.2596985536847975	0.29843917466334213
8cbe	E	27.56	36.43	0.28165	0.29488	0.2689756875732231	0.2771184003360169
8cbf	E	27.12	38.77	0.25511	0.2738	0.2563635995455119	0.2756676760496744
8cd0	A	78.3		0.69732		0.7776452719800762	
8ds7	M	63.88	68.1	0.29086	0.2146	0.6277777777777778	0.6611111111111111
8g2m	F	62.47	65.49	0.31277	0.33061	0.6180555555555556	0.6388888888888888
8i7v	B	57.38	64.39	0.33604	0.33647	0.6576777469949092	0.6415553731072943
8i7w	B	53.47	59.24	0.31185	0.33553	0.6907274432790003	0.6969824514669782
8iec	C	73.3	76.23	0.76724	0.77287	0.7732454861930177	0.7813257984834739
8ied	C	73.3	75.66	0.34121	0.3144	0.7732454861930177	0.7799228034771865
8jbg	D	88.82		0.22468		0.9292379851001361	
8jbh	D	88.82		0.23101		0.923243457518847	
8k8j	A	82.0		0.79245		0.805378278099128	
8kfx	A	76.99		0.80355		0.7995850621693795	
8kfy	A	76.99		0.80435		0.8007314799949826	
8kfz	A	76.99		0.31553		0.7902075875219051	
8odx	A	72.92	72.92	0.84188	0.84188	0.8140124509657535	0.8140124509657535
8sip	H	87.94		0.74038		0.9217645396679837	
8sxi	A	24.48		0.2273		0.2135855232693534	
8sxj	A	24.48		0.2279		0.20927650349148885	
8uf7	C	92.56		0.9064		0.8593257993821093	
8ww2	A	79.89		0.7734		0.7346653509816753	
8i5l	A	28.26	43.65	0.2671	0.33393	0.22925224157860447	0.33209148507015057
7yoy	C	88.32		0.94882		0.8580709290250806	
7yp1	A	32.1	37.38	0.29912	0.30798	0.3670132765390138	0.37821454629224505
7yp2	A	35.16	39.82	0.29041	0.28549	0.29155290185319627	0.28153135007718727
8c7m	B	66.96	70.35	0.68995	0.62695	0.7017539542092024	0.7687612828544247
8hp9	A						
8hpq	A						
8hpv	A						
8i4h	A	22.12		0.24835		0.23692158076014624	
8ipc	A	87.58		0.77279		0.8596769032054195	
8iq4	A	73.16	75.5	0.32839	0.32659	0.7237605951404278	0.735586497735242
8iq6	A	73.16	76.21	0.71617	0.75808	0.7223595160559886	0.7284253365111696
8qpr	A	23.14		0.2014		0.24812246871398658	
8qq0	A	22.82		0.20786		0.24282964325307996	
8rcq	A	34.51	35.58	0.31689	0.33551	0.41638016159471075	0.41394245583370676
8the	A	79.06		0.94385		0.8396755283883066	
8bw0	C	92.7		0.95602		0.8666839378878347	
8g72	B	27.07	30.54	0.22421	0.23645	0.32133884479917546	0.3283829758107323
8g73	B						
8g74	A						
8g75	A						
8j20	A	88.72		0.89725		0.868940855387334	
8j21	A	88.72		0.89801		0.8703143283817841	
8j22	A	88.72		0.90161		0.9023763276216099	
8j24	B	88.72		0.9032		0.9126801213642936	
8jlw	A	35.75	38.82	0.24655	0.23615	0.2729115589412752	0.2713715462291196
8jlx	A	35.73	48.07	0.30824	0.28046	0.23748259067031544	0.26187164310037386
8jnk	A	87.49		0.97498		0.9403659189168322	
8jnr	A	93.11		0.93183		0.8559247658459006	
8k3k	E	26.56	31.06	0.29337	0.30159	0.25654841970199826	0.28159953828083933
8t3q	A	82.01		0.81156		0.7792270343842589	
8t3s	A	82.01		0.81628		0.7869664794419815	
8t3v	A	82.99		0.82815		0.7767637108118285	
8tw3	F	62.35	63.8	0.7771	0.74527	0.6778738709854081	0.6759888185314091
8wej	B	81.33		0.13406		0.8532263710557489	
8x2l	B	82.58		0.16645		0.8421028057365014	
8xc4	B	62.33		0.8697		0.6776496894058026	
8acf	A	87.1		0.89548		0.8749571551706037	
8aci	A	87.1		0.91167		0.8823825734615984	
8fhy	I	26.05	41.58	0.29213	0.2645	0.24148445958609055	0.254711195950672
8fi9	C	26.05	33.06	0.27089	0.30365	0.25136458817229596	0.3007217477017451
8g8n	C	67.37	68.45	0.28154	0.389	0.75	0.7222222222222222
8hrx	A	94.59		0.79459		0.806510761015701	
8hry	A	94.59		0.79392		0.8061109930528977	
8j9n	C	83.74		0.29426		0.7648026156706713	
8j9o	A	76.46		0.9196		0.7840814000658658	
8jh7	D	86.57		0.929		0.8500642349814269	
8jhb	A	83.68		0.7765		0.7702547290202661	
8jhc	R	86.17		0.87666		0.833688325321765	
8jhi	A	85.8		0.77112		0.774087473630393	
8qy9	A	88.12		0.91075		0.9552931582796124	
8qya	A	88.52		0.80615		0.896792961768088	
8qyb	A	88.12		0.86556		0.9268202649079169	
8t3o	B	88.39		0.22504		0.922687255867623	
8thn	C	91.35		0.91594		0.9433500544890918	
8tm1	A	29.0	33.51	0.28667	0.27096	0.2916020016968513	0.27755215277786827
8tma	A	29.0	41.08	0.28674	0.26795	0.29266185193763616	0.3355265107330677
8wdt	A	83.49		0.90323		0.8122634722919575	
8t5c	a	33.56	56.43	0.28816	0.21247	0.39526092878372415	0.3720425672926643
8c3k	A						
8c89	C	26.6	36.25	0.26773	0.25483	0.26653523821725866	0.2463976287216249
8gd9	A	84.3		0.70478		0.7245942876241332	
8gda	A	86.98		0.761		0.7613893693709353	
8gdb	A	81.33		0.85499		0.7483692513530604	
8j6j	A	80.12		0.79391		0.7842544920645604	
8jgb	G	71.15	80.94	0.07423	0.05256	0.7574657651573286	0.7871915396988722
8jgf	A	80.15		0.80126		0.8093447836431436	
8jgg	G	71.15	76.62	0.41863	0.54191	0.7861513848630926	0.8205647171229906
8jjv	B	84.33		0.35824		0.8760010822510822	
8jly	B	84.05		0.32749		0.8817857142857143	
8t29	R						
8t2a	R						
8t2b	R						
8t2o	R						
8uhb	A	85.58		0.84141		0.7480072135500949	
8coe	C	81.9		0.93574		0.8404426825254352	
8gcm	A	77.74		0.72812		0.7187435361815748	
8gcp	A	80.31		0.77642		0.7463002962059748	
8hbi	A	62.79	62.65	0.70326	0.70963	0.7266120622952057	0.7535113445491514
8hxq	C	78.84		0.72285		0.7827036199359856	
8hxr	D	80.84		0.84099		0.9016575387795416	
8ij3	B	88.69		0.23276		0.9122475008639442	
8ija	C	81.26		0.31742		0.8053665716203775	
8ijb	B	88.69		0.22592		0.9136984996579365	
8ijd	B	88.69		0.23445		0.9221037654304315	
8kae	R	86.25		0.94909		0.8496373399535012	
8kfa	A	58.84		0.62069		0.6670819015592887	
8u1d	A	24.18		0.22038		0.2097900514273402	
8w8q	A	80.98		0.2838		0.8007356984283902	
8w8r	A	77.03		0.77699		0.7658315822657288	
8cn9	C	89.58		0.9679		0.8838866440990553	
8go9	F	76.96		0.83528		0.7782310671234375	
8j8r	A	77.57		0.83212		0.7939261271604324	
8j8v	F	78.88		0.85506		0.8109520023102496	
8j8z	A	77.87		0.90343		0.8197238361190711	
8ja3	B	76.72		0.8357		0.7108254847733005	
8wc6	A	77.85		0.7687		0.7646253875961874	
7y3n	A	27.59	31.88	0.25929	0.29675	0.2933806542105125	0.30121032838467127
7y3o	A	26.83	36.91	0.27097	0.32941	0.2700638562898401	0.3169931038469155
8b7h	A	64.76	64.76	0.55683	0.55683	0.5889571414308993	0.5889571414308993
8che	C	63.84	71.82	0.17433	0.27447	0.6465436415436414	0.6374397824397826
8hj1	A	81.26		0.78486		0.7716394514468362	
8i4f	A	22.52		0.2632		0.24019592931468717	
8i4g	A	21.74		0.22927		0.24510025855727896	
8j97	A	72.54	77.08	0.80847	0.79138	0.7224730562581938	0.7487293962890351
8j9k	C	77.02		0.86938		0.7599955310136021	
8jaf	A	73.59	74.01	0.7948	0.82347	0.6932759221069109	0.7240021832442606
8k5g	A	26.95	33.45	0.27456	0.32268	0.2529140874385629	0.271400524943151
8k5h	B						
8qot	A	84.58		0.94667		0.8435387975951807	
8wc3	A	79.5		0.78229		0.7681352765476324	
8wc4	A	80.12		0.78139		0.7786449760887724	
8wc5	A	75.5		0.83756		0.736978028736159	
8wc7	A	77.85		0.7665		0.7592640106016904	
8wc8	A	79.36		0.77216		0.7806715219368673	
8wc9	A	79.06		0.76714		0.7287900812628435	
8wca	B	87.83		0.91886		0.872999085619717	
8wcb	A	78.13		0.77248		0.7284132351077129	
8xbh	A	77.36		0.7887		0.8023724255698417	
8fif	D	53.11	53.11			0.0	0.0
8fja	A	89.34		0.97226		0.9352830213507399	
8fjb	A	89.12		0.95561		0.9189069534283003	
8g4p	E	82.33		0.92702		0.8938021388717232	
8hn1	A	86.09		0.12257		0.8749409741423688	
8hn8	A	76.69		0.76506		0.7809863969288399	
8hoc	A	78.13		0.78253		0.773848042477823	
8hpf	A	26.25	31.12	0.28171	0.31208	0.25016018127103157	0.2844282988059088
8hpu	A	27.13	31.73	0.31371	0.24507	0.2778830716554759	0.26124028951319067
8hq7	A	26.79	32.46	0.28794	0.30626	0.28313106981606007	0.2914176696544817
8hrd	A	27.57	34.82	0.24837	0.28111	0.27265348736528616	0.2669660592998101
8hti	A	50.7	62.94	0.565	0.58681	0.578568876872941	0.605974667493459
8q7s	A	28.16	37.59	0.29684	0.26964	0.29565762853692085	0.2784522767866775
8q93	A	26.97	31.39	0.2856	0.22975	0.2819525810070655	0.2624750148577096
8q94	A	28.04	45.18	0.30999	0.26321	0.2710620559785097	0.2673562592371059
8q95	A	27.86	39.41	0.24723	0.25968	0.2606461930574435	0.2633117997457061
8tlm	C	85.11		0.95019		0.8926699519124545	
8u1u	B	79.3		0.27869		0.7995678694646828	
7ycy	C						
7ycz	C						
7yd0	A						
8d4r	B	52.92	53.83	0.33854	0.39609	0.4578649659302438	0.46419463771277925
8d50	B	59.32	59.32	0.34532	0.34532	0.45369577237489733	0.45369577237489733
8f2j	C	26.59	36.59	0.26969	0.3444	0.25706071574217576	0.3252113776898032
8f38	B	43.2		0.40314		0.4210636563883966	
8fah	A	26.53	35.58	0.27935	0.27887	0.2690386108476546	0.32670837953519916
8k45	B						
8k46	A						
8k47	C						
8r8d	B	91.47		0.942		0.8562052481836169	
8smi	A	25.85	32.69	0.29345	0.32559	0.2513838140160774	0.2813970454494032
8sos	A	88.94		0.9845		0.9498291667537244	
8ek5	A	89.66		0.97529		0.9547072283504766	
8feg	C	83.65		0.79845		0.7824992182019828	
8hws	A	27.03	30.9	0.25068	0.35642	0.2652242881837328	0.3175270859970269
8hwt	A	26.69	37.54	0.28427	0.34012	0.25135155422844113	0.3517380187197992
8ia7	B	88.82		0.22872		0.9192191963820792	
8j6p	A	75.46		0.79767		0.8018754739877799	
8j6q	A	75.46		0.79829		0.8012130464260346	
8j6r	A	75.46		0.79		0.7863730361343476	
8tui	A	87.57		0.92313		0.8822404067609995	
8ucd	A	83.24		0.85243		0.8072816038852838	
8bk2	A	84.0		0.83723		0.8338944406251443	
8cr9	C	50.7	67.83	0.53316	0.72486	0.49661656263755616	0.6107201188617384
8crb	C	56.82	66.96	0.5548	0.77234	0.5132100502717065	0.6650738877054599
8hnk	A	77.74		0.80322		0.7798662818572796	
8hnl	A	77.74		0.80645		0.789510302341353	
8hnm	A	77.74		0.80106		0.7766835772737121	
8hnn	R	84.8		0.91361		0.826638382163242	
8j1t	F	28.85	35.15	0.33177	0.31507	0.3160783973453783	0.27945976126734406
8j1v	A						
8j5j	A	26.86	33.01	0.25231	0.21988	0.26125842315012177	0.2225685087666751
8k2w	R	84.79		0.92334		0.8380319249421211	
8k2x	A	77.74		0.8026		0.7730894140451698	
8pvb	A	90.04		0.9846		0.9679263728575757	
8skj	E	78.12		0.25308		0.7903814935064934	
8t9z	A	57.17	57.42	0.73013	0.74078	0.6416416451010598	0.6607082667434697
8trs	D	86.84		0.90364		0.9130680250195358	
8trt	E	88.99		0.92873		0.9151598244840744	
8w87	A	77.34		0.79515		0.8054546665926795	
8w88	A	82.87		0.85154		0.7923511416053325	
8w89	A	77.48		0.80393		0.8086003542548694	
8w8a	A	77.48		0.80777		0.8100277672990998	
8w8b	A	75.64		0.7846		0.7737935651267355	
8wpu	G	79.71		0.42442		0.7206688347746133	
8x0t	A	91.49		0.95749		0.924008524180008	
8u26	A	78.62		0.76944		0.7516729255632979	
8u2c	B	82.47		0.9539		0.8698510698938494	
8udg	A	44.81	64.26	0.24181	0.35754	0.4490961466255674	0.4660130773891583
8f4p	A						
8heg	B	83.8		0.60651		0.864130143348201	
8ix3	G	27.32	35.22	0.25812	0.34385	0.2692134868540228	0.33594178265712515
8jlj	A	79.45		0.78055		0.7502360399551768	
8jlk	A	79.5		0.78092		0.7636294989398613	
8jln	A	76.96		0.79278		0.7365819894289907	
8jlq	A	79.15		0.76706		0.7412638164542458	
8jlr	A	79.45		0.79505		0.8099208370450675	
8jso	A	79.45		0.78986		0.7779104918875642	
8jsp	A	76.51		0.78419		0.7391843611079529	
8wsq	F	52.63		0.59236		0.5261417529097069	
8tfn	B	86.11		0.45124		0.9000177975153753	
8w83	C	88.89		0.94333		0.891814709751559	
8w85	C	88.96		0.94278		0.9064257052590029	
8w86	C	88.51		0.94093		0.9140366026287234	
7zox	A	85.26		0.94511		0.8479748695429902	
8bg1	C	25.74	34.48	0.26409	0.32684	0.23202407774877704	0.32026533289995524
8bg2	B	26.58	33.3	0.24334	0.28086	0.24217160843975322	0.27131956019333614
8bg3	B	27.42	33.37	0.25308	0.29585	0.27437385004836035	0.32911651848672063
8bg4	B	25.74	33.4	0.26592	0.29529	0.23220931286237662	0.2893852164316226
8bg5	B	26.83	35.99	0.26412	0.28875	0.2733479482691398	0.2836347803195435
8bg6	E	29.49	41.36	0.33167	0.26141	0.2992177358805938	0.2774112366087855
8bg8	A	29.55	36.44	0.34747	0.32243	0.3476471378556927	0.31873249198235254
8ez3	A	63.51	63.51	0.85972	0.85972	0.6660406396258022	0.6660406396258022
8ez7	A	63.51	63.51	0.86003	0.86003	0.667245477060337	0.667245477060337
8ez8	A	63.51	63.51	0.86082	0.86082	0.6660295482008411	0.6660295482008411
8g6u	B	56.31	61.07	0.38946	0.36365	0.5230822947240525	0.5351914213213543
8hes	C	27.93	34.97	0.31212	0.32609	0.2624714570407078	0.2923196347275913
8jis	A	81.98		0.77533		0.7078069122111222	
8opr	A	62.39		0.4271		0.6912134984912589	
8ttw	B	64.05	70.08	0.33106	0.36516	0.47608938282236013	0.47716764139240453
8w84	C	86.94		0.89973		0.8616760679806991	
8wrb	A	77.73		0.82608		0.8093712218273746	
8be5	A	82.9		0.84535		0.8188384658240336	
8evg	G	80.79		0.57585		0.886974088068218	
8evh	G	80.79		0.57408		0.8868274039389706	
8evi	G	80.79		0.57408		0.8868274039389706	
8evj	F	81.72		0.76655		0.8724867516471714	
8syp	G	83.67		0.60524		0.8901097375265622	
8be2	S	89.87		0.85337		0.8345948450140229	
8bec	B	26.83	33.82	0.26373	0.28773	0.2725507682652738	0.26238193660211667
8eyg	C						
8eyh	A						
8f7z	L	77.81		0.29408		0.6852678571428571	
8f95	P	76.67		0.43572		0.8260642135642136	
8f9e	P	76.31		0.3447		0.6454545454545455	
8f9f	P	66.66	66.48	0.31681	0.3747	0.6736291486291487	0.7653228715728716
8f9s	P	70.95	78.18	0.32498	0.38832	0.802579365079365	0.8385416666666666
8f9t	C	82.64		0.33803		0.8480158730158731	
8f9u	P	71.63	85.76	0.36593	0.36399	0.7825667388167389	0.7679112554112554
8f9v	M	78.07		0.60672		0.9196428571428572	
8f9w	O	78.36		0.41595		0.855654761904762	
8fa6	P	82.0		0.48557		0.7986111111111112	
8fa7	P	76.31		0.29318		0.7015241702741702	
8fa8	P	72.05	74.85	0.41038	0.36793	0.7410714285714286	0.6964285714285714
8fa9	P	79.11		0.3555		0.748277417027417	
8fan	P	79.97		0.40394		0.75	
8fas	C	66.41	70.75	0.32505	0.41626	0.7745670995670996	0.7675505050505051
8fat	E	66.29	69.86	0.30815	0.33497	0.6565679112554114	0.7001082251082251
8fb5	O	76.04		0.40439		0.7857142857142857	
8fb6	P	78.16		0.34622		0.7774305555555555	
8fb7	Q	70.06	88.14	0.30657	0.31366	0.8202068764568765	0.8319021256521256
8fb8	P	78.07		0.53529		0.8869047619047619	
8fba	P	76.67		0.40604		0.8729527417027416	
8fdc	P	79.75		0.20707		0.8046626984126984	
8fdd	P	81.73		0.3245		0.8457355144855144	
8g05	A	77.96		0.30999		0.8033103044361708	
8h91	A	26.83	37.55	0.26007	0.25619	0.27212859483946916	0.2528557047714172
8hbg	C	72.46	75.78	0.55974	0.55484	0.7787343987509816	0.7896630068921614
8hbj	C	72.46	74.95	0.56022	0.54027	0.7891090228923499	0.801555056697441
8izb	A	84.0		0.78487		0.8105224261531726	
8pq2	C	27.53	31.09	0.33145	0.26416	0.2880321625258821	0.24988666819707234
8sg1	B	88.56		0.2277		0.914803585609804	
7yfc	A	86.01		0.78598		0.7899314901054434	
8u4v	A	84.99		0.94932		0.9061361496769851	
7yfd	A	86.01		0.78735		0.7951218988577993	
7uqc	C	74.55		0.15959		0.7368165784832451	
8b9v	A						
8cdd	B	75.28		0.27963		0.8251026367895513	
8cde	B	75.18		0.28096		0.8361864075285855	
8h7i	A	89.71		0.93545		0.9215997153732766	
8h7m	A	89.71		0.94332		0.9167459651273442	
8h7n	A	89.32		0.95094		0.9249653526102849	
8h7r	A	89.32		0.94948		0.9259086545267569	
8h8q	A	62.95	63.85	0.23787	0.21824	0.5953479853479853	0.6121978021978022
8hgl	A						
8hgm	B	26.83	39.33	0.25233	0.33322	0.28542783425081736	0.35819714449980694
8jtd	A	25.22		0.21531		0.22232474907045524	
8jtm	A	25.22		0.21781		0.21973918330170855	
8k4n	A	78.87		0.81626		0.7655089133674193	
8ci2	A	88.83		0.94005		0.8401845054811701	
8tpa	A	51.89	56.3	0.57949	0.59487	0.49583271222576586	0.5540754929670474
8hpt	B	75.94		0.34234		0.789663710123682	
8hqc	B	78.43		0.32007		0.7848266278131109	
8eln	A	92.48		0.98585		0.9583867500735632	
8et0	A	79.75		0.94884		0.8431321647139237	
8g2o	L	89.84		0.46805		0.9273226277272585	
8gje	A	24.62		0.22076		0.2260322853666135	
8h5t	A	27.47	37.33	0.27555	0.32024	0.2679542665367094	0.307021695158321
8h5u	A	26.12	36.86	0.2738	0.31243	0.24651449261727953	0.31106581571092806
8i95	A	77.86		0.79901		0.8091227558612696	
8i97	A	75.5		0.3199		0.8251774832682753	
8i9a	A	82.11		0.7993		0.7822332716019044	
8i9l	B	88.69		0.90373		0.9076612096615987	
8i9s	A	75.5		0.32823		0.8108437115775404	
8ia2	B	77.53		0.32121		0.8156145529161989	
8itl	A	80.63		0.31556		0.7654578840493507	
8itm	A	80.63		0.31408		0.7683989364695518	
8j6d	A	75.44		0.80492		0.8195769025192585	
8jzz	B	88.82		0.90202		0.9014815041660034	
8kh5	B	83.58		0.28834		0.7984879444041165	
8oxv	A	89.0		0.96989		0.9324222313772818	
8oxw	A	88.43		0.96188		0.9253751417326596	
8oxx	A	91.19		0.96528		0.948010122131419	
8oxy	A	88.79		0.97176		0.9223762942319721	
8pnl	A	79.4		0.89478		0.8195148872561452	
8c9x	A	88.8		0.972		0.9447882847600915	
8cau	A	88.83		0.956		0.9010726360708192	
8ce4	A	88.8		0.96691		0.9423527984955352	
8ci1	A	88.78		0.96278		0.9093912144535781	
8eqf	A	26.1	34.99	0.2779	0.30628	0.2507672008921074	0.2870446565435157
8f5i	B	92.87		0.96302		0.9549892502672356	
8fdo	C	92.4		0.93467		0.9181197775612481	
8fym	P	82.37		0.55607		0.89048166339833	
8fz2	P	60.65	75.85	0.22352	0.2987	0.5804046940976122	0.5660962038477518
8grr	2	72.95	72.95	0.50108	0.50108	0.7659437474494969	0.7659437474494969
8gsp	2	72.95	73.41	0.49885	0.49999	0.769230040459165	0.7399164853443745
8h2g	B	78.83		0.29691		0.7809343541256178	
8hqe	B	88.74		0.89503		0.8850023225094121	
8hqm	B	91.02		0.97437		0.8731779298192093	
8hqn	B	91.02		0.97601		0.8792310807967859	
8hvi	B	79.71		0.28153		0.7185622936238562	
8kgk	B	82.89		0.2997		0.7963883809861201	
8kh4	B	83.58		0.28832		0.8034418110714128	
8sgj	A	72.56		0.55996		0.7562289027674143	
8sgt	A	77.33		0.54638		0.8097495307044472	
8t7h	A	88.4		0.90572		0.8479420265928407	
8t8m	B	87.59		0.86212		0.8408880698812969	
8tao	B	88.74		0.86362		0.8489102137305193	
8tp2	C	42.86		0.36129		0.4095603949661814	
8tp3	C	51.89		0.57765		0.4864948369366479	
8tp4	C	42.86		0.36155		0.40490601369604085	
8tp5	C	51.89		0.57677		0.49381059296498103	
8tp6	A	42.94		0.36311		0.40681952410260575	
8tp7	A	42.49		0.38193		0.4021162946988112	
8tp9	B	42.49		0.38094		0.3991785652162415	
6x05	A	73.3	78.44	0.88754	0.89736	0.7335941045218035	0.807701840761849
7ukl	C						
7ukm	B						
8b50	H	89.57		0.92758		0.9149078441646638	
8fxb	E	30.12	34.98	0.34448	0.3202	0.29010789978420176	0.24771957370163455
8fxc	E	27.89	39.69	0.31621	0.42254	0.2470691069979886	0.3003706006453781
8g0w	A	27.03	31.02	0.23465	0.35954	0.22510227740655955	0.2729731215751915
8gy5	Q	83.26		0.91957		0.8753471405890861	
8h63	A	96.06		0.95231		0.9849862353290489	
8h64	A	96.04		0.9898		0.9906011222999054	
8hlb	A	89.68		0.82796		0.8297757310179179	
8i3s	A	26.05		0.27402		0.24669685406459776	
8i3u	A	26.05		0.27412		0.2507098659768118	
8jz7	B	88.64		0.89326		0.8954872424949779	
8s9g	E	28.5	39.14	0.33708	0.34155	0.2516127032013182	0.2975327423656623
8sai	D	84.88		0.30208		0.7659401522166871	
8sak	B						
8tb0	R	79.35		0.55995		0.6953792057610461	
8euu	A	24.77		0.22654		0.20515165203496574	
8euv	A	24.77		0.2378		0.2061022745728048	
8euw	A	24.77		0.23884		0.2060014767264566	
7zau	A	88.22		0.89782		0.9258981549494721	
8bso	L	92.17		0.52683		0.9846936835305292	
8cml	B						
8cni	B	83.81		0.94296		0.8501736410566779	
8eli	A	84.01		0.30481		0.8605654761904762	
8gye	A	86.19		0.76047		0.9215237109928313	
8pg0	A	87.76		0.93083		0.8322154263590584	
8phw	A	77.84		0.83986		0.7039888980809019	
8t03	A	86.75		0.96563		0.9345172779879997	
8t04	A	86.75		0.96653		0.9324642625470543	
8t05	A	87.11		0.88417		0.8219129734659946	
8t06	A	87.07		0.97482		0.9405038251426994	
8t07	A	84.3		0.96959		0.9012413817704679	
8u5b	A	85.56		0.94133		0.9074631127018963	
8edf	A	25.99	41.0	0.2795	0.29567	0.24278682953559294	0.3240108417484424
8foi	A	83.71		0.93715		0.8959415856305438	
8g4n	A	83.71		0.93755		0.89339197103805	
8g4o	A	85.23		0.95502		0.9165990027723421	
8g4x	A	83.71		0.92393		0.8866907640182858	
8g5f	C	83.81		0.93037		0.8923350978112217	
8g5g	A	83.75		0.90276		0.8675162696880263	
8g5h	C	83.75		0.91861		0.8888530036686043	
8ioc	A	76.12		0.79955		0.8144746115963092	
8iod	A	76.26		0.79804		0.8095259705689688	
8j7t	A	87.95		0.939		0.9009315321775222	
8j7u	A	89.68		0.9259		0.843515508215129	
8j7v	A	88.39		0.95009		0.8787983068170307	
8j7w	A	87.21		0.93251		0.864638227026789	
8j7x	A	89.14		0.92406		0.8603630124678823	
8j7y	A	87.82		0.91244		0.851474733334402	
8j80	A	88.36		0.93752		0.868244780794271	
8q6j	E	85.99		0.89887		0.839501314023027	
8szy	T	92.18		0.94909		0.9146643829926744	
8caf	F	88.82		0.42794		0.9495923424196565	
7xy3	A						
7xy4	A						
7y0n	B						
8ee2	A	92.4		0.98677		0.9542530294040275	
8f0i	A	26.79		0.28237		0.27113693663747707	
8fx5	B	88.74		0.22577		0.9372048316615355	
8ihb	A	78.37		0.30688		0.8026228109177274	
8jiq	A	86.54		0.69678		0.6978063347466387	
8jiu	A	84.75		0.76781		0.760552778439942	
8t7a	a	54.27	60.32	0.07589	0.11973	0.6234588054065149	0.653904040539409
8ty1	A						
6b3m	A	50.66		0.55558		0.5021547776624425	
6e0c	A	83.0		0.80462		0.848994030359909	
6dzt	F	80.8		0.767		0.9122410358272598	
5fuu	C	25.18		0.25136		0.21762667608320704	
6qxe	E	30.93		0.2565		0.32895822444813905	
7k78	B	84.21		0.79447		0.8961168771078855	
5js9	C	27.55		0.22932		0.22210752356614719	
6e0p	A	83.0		0.80503		0.8510596656382805	
4kv5	B	77.66		0.83322		0.8280593889977924	
8ee8	Z	65.42		0.57581		0.6786032907134422	
7y0o	A	26.83		0.26386		0.28334943500968696	
7yub	R	87.15		0.95716		0.8683705337513927	
7yud	R	86.25		0.95062		0.8562392468544768	
7yuf	R	86.25		0.9511		0.8435668898010772	
7z1x	A	74.51		0.4738		0.7567092928963262	
8awm	A	27.58	35.03	0.26252	0.26867	0.24959535981374575	0.3042284078890273
8fgx	C	87.44		0.95465		0.902076175767771	
8gsb	A	29.12	43.53	0.32575	0.27148	0.29012930464909387	0.2788283588047324
8j7e	F	91.94		0.96365		0.9237106412403304	
8jhy	B	88.64		0.89397		0.9050674319754389	
8jii	B	88.64		0.89321		0.9017733832630035	
8jil	B	88.64		0.89217		0.8920028066833418	
8jim	B	88.64		0.89178		0.8960645212806078	
8jip	A	81.47		0.27324		0.7586297870081371	
8jir	A	76.42		0.78387		0.7730870084216949	
8jit	A	83.82		0.82099		0.752210154036368	
8so3	D	75.94		0.84671		0.7129023814681437	
8sr0	X	78.05		0.86361		0.7430799947863679	
8eh5	G	55.26	55.26	0.24435	0.24435	0.6997209521247982	0.6997209521247982
8gpy	B	27.65	41.71	0.25216	0.33264	0.26918991883270843	0.296162854253238
7yi6	A						
8ee5	Z	64.34		0.59777		0.6856395377237241	
8eed	A	65.82	65.82	0.65265	0.65265	0.6924327845553242	0.6924327845553242
8eee	E	65.03	65.03	0.62084	0.62084	0.6967724502565281	0.6967724502565281
8fcz	A	82.79		0.93288		0.8251248778212281	
8fd0	A	82.79		0.93844		0.8229845646743025	
8fd1	A	79.72		0.88777		0.747979170352609	
8gh4	E	88.98		0.94694		0.8847753941528923	
8gho	C	71.3	73.3	0.47703	0.468	0.9245650183150184	0.9413912680456799
8ghp	A	77.27		0.88181		0.7521028498268629	
8gnh	B						
8gq1	C	94.84		0.98298		0.9651548537452653	
8h7l	B						
8h7z	A	26.58	30.78	0.30875	0.32366	0.2861369129170868	0.2723346288580192
8hrh	D						
8ihf	A	78.37		0.78982		0.7942598628393698	
8ihh	A	78.37		0.30722		0.7951851977923136	
8ihi	A	78.37		0.78863		0.7949677637242968	
8ihj	A	78.37		0.27326		0.7811111366440453	
8p7w	B	81.42		0.93926		0.8440656634569607	
8p8a	B	80.93		0.92831		0.8345434014541699	
8p8j	A	81.9		0.93343		0.8470741595946192	
8sgo	B	86.1		0.95467		0.9362303252164949	
8si9	B	86.17		0.952		0.9290433638180694	
8sid	B	86.1		0.95525		0.9374033530779626	
8apy	A	88.24		0.92652		0.8830564892274375	
8gf2	A	27.78		0.30933		0.2583221016776398	
8gpi	T	51.66	63.27	0.37214	0.28028	0.5060617697281132	0.49938666695590767
8gpj	W	42.63	45.2	0.35175	0.30318	0.5022741696339139	0.48456947776404713
8tco	A	27.29		0.31317		0.29167906496338253	
8tea	C	36.94	41.7	0.29579	0.22635	0.39715365873850905	0.31657232678814384
8ahl	D	92.88		0.83199		0.9947129359677982	
8aia	B	91.74		0.81029		0.9257036359146631	
8aix	B	91.74		0.81028		0.9257036359146631	
