id	length	pLDDT_A	model
A0A6J5MSU9	350	44.097	BASE
A0A8S5SDP2	150	73.894	BASE
G3MA42	1493	90.967	BASE
A0A1Y0SZS9	71	54.442	BASE
A0A3G4ZZE1	7928	61.469	BASE
A0A8S5UGC4	4	25.979	BASE
A0A2Z4BU98	54	50.477	BASE
A0A1L3KI00	45	57.105	BASE
Q306M8	735	75.765	BASE
F2Y140	975	68.505	BASE
A0A5K0U8Y7	3773	72.043	BASE
A0A516LXV0	168	62.189	BASE
A0A3G4ZQ84	1399	54.091	BASE
UPI00102D67E1	106	86.049	BASE
A0A6J5N133	5377	88.586	BASE
A0A1J0MCV1	53	36.049	BASE
A0A5J6VJ24	1630	54.382	BASE
A0A7D5G356	147	44.275	BASE
A0A8D9UIN4	499	74.399	BASE
A0A0E3FWE4	429	64.256	BASE
A0A3G4ZU35	137	58.801	BASE
A0A8S5L5G7	129	74.982	BASE
A0A0M4JK27	1723	72.423	BASE
A0A142CK85	418	66.749	BASE
A0A6J5RHU5	779	93.917	BASE
A0A1V0SIW4	52	39.712	BASE
A0A0B6VKW8	75	50.277	BASE
A0A2H4PMG0	205	54.277	BASE
A0A8S5SEG2	116	88.273	BASE
A0A6J5LER1	568	68.817	BASE
A0A0H4YFL5	158	60.927	BASE
A0A076V9W6	3	47.775	BASE
A0A6J5PIH7	38	71.949	BASE
A0A6J5NA89	890	79.567	BASE
A0A481YZ76	33	77.521	BASE
A0A8F3CIQ7	633	50.863	BASE
A0A5B8HX20	58	89.215	BASE
R9QT65	111	75.252	BASE
V5M192	16261	85.367	BASE
A0A889IPI4	6340	50.541	BASE
A0A6J5NKL2	59	44.703	BASE
A0A8S5P3F2	102	59.616	BASE
A0A646TNG8	146	76.595	BASE
A0A3G4ZM18	4625	73.525	BASE
V9LZH8	87	58.767	BASE
A0A1S6L265	94	86.761	BASE
A0A6G6XQN7	3442	85.484	BASE
A0A3G5A4F5	277	66.286	BASE
A0A8S5PXL4	1429	74.368	BASE
A0A8S5MY36	947	69.161	BASE
A0A650ES33	663	67.022	BASE
A0A6J5PCQ3	1108	74.993	BASE
H9AZY9	109	56.332	BASE
A0A3G5AFC3	117	61.222	BASE
A0A0P0YPB0	145	49.435	BASE
A0A384ZV81	31	74.045	BASE
Q5UR86	1064	69.353	BASE
M4QT40	441	80.347	BASE
V5NWL6	17	43.785	BASE
A0A0B5KTE4	65	72.477	BASE
A0A6G5YG97	423	85.649	BASE
A0A1V0SK20	2539	94.553	BASE
A0A6J5KVT1	87	64.615	BASE
A0A7T7DGJ6	64	47.136	BASE
A0A8D9PH20	605	43.538	BASE
G8DGK7	43	73.382	BASE
A0A8F3IMW2	730	88.538	BASE
A0A1L3KH42	713	76.847	BASE
A0A7S5RNC6	686	70.761	BASE
A0A1L3KJJ9	33	31.863	BASE
A0A8S5V6Y2	143	67.953	BASE
A0A6J7XN23	3542	87.026	BASE
A0A8S5TKP8	9985	85.156	BASE
H2EAH0	1218	89.669	BASE
A0A2U7UG44	12800	78.979	BASE
A0A8S0I5Y9	4220	84.0	BASE
A0A8S0I5N9	4130	84.166	BASE
A0A7D3QWJ6	20	44.064	BASE
Q9JFR8	709	31.747	BASE
A0A1L3KE81	55	54.458	BASE
A0A6J5RA88	125	79.55	BASE
A0A222Z854	39	40.626	BASE
A0A126G9H6	56	75.768	BASE
A0A0F7L2F7	6451	89.551	BASE
A0A345N2C0	127	52.452	BASE
A0A4D5XEX7	67	54.379	BASE
A0A3G4ZPW0	3	31.886	BASE
A0A385A0Y7	161	79.666	BASE
H9YPI3	8520	85.155	BASE
A0A5J6VH68	334	67.756	BASE
A0A6G6XP78_1	1177	73.845	BASE
A0A6G6XP78_2	1101	82.914	BASE
A0A6G6XP78_3	983	74.053	BASE
A0A6G6XP78_4	1932	80.919	BASE
A0A6G6XP78_5	991	76.547	BASE
A0A6G6XP78_6	1922	78.95	BASE
A0A6G6XP78_7	4390	66.585	BASE
A0A2P1GMV5_1	1524	38.122	BASE
A0A2P1GMV5_2	268	30.267	BASE
A0A2P1GMV5_3	1490	42.534	BASE
A0A2P1GMV5_4	249	73.028	BASE
A0A2P1GMV5_5	499	66.922	BASE
O82731_2	334	37.961	BASE
O82731_4	128	46.627	BASE
A0A9E9ETW0_1	123	40.575	BASE
A0A9E9ETW0_4	33	52.307	BASE
A0A1Q1N6J9_1	185	33.272	BASE
A0A1Q1N6J9_2	45	32.073	BASE
A0A1Q1N6J9_3	148	52.535	BASE
A0A1Q1N6J9_4	220	66.857	BASE
A0A1B1IWQ4_1	3873	80.156	BASE
A0A1B1IWQ4_2	1740	61.107	BASE
A0A1B1IWQ4_3	3974	69.057	BASE
A0A516LT38_1	1836	61.849	BASE
A0A516LT38_2	197	49.701	BASE
A0A516LT38_3	968	60.267	BASE
A0A7T7GUZ9_1	129	40.486	BASE
A0A7T7GUZ9_2	78	43.456	BASE
A0A7T7GUZ9_3	300	72.693	BASE
A0A1L3KJ49_1	117	56.306	BASE
A0A1L3KJ49_2	46	47.938	BASE
A0A1L3KJ49_3	428	78.581	BASE
A0A7G5B837_1	4560	59.795	BASE
A0A7G5B837_2	2198	68.346	BASE
A0A7G5B837_3	1344	83.949	BASE
A0A516LHK8_1	158	50.512	BASE
A0A516LHK8_2	202	75.096	BASE
A0A516LHK8_3	165	71.462	BASE
A0A6B9L1T2_2	955	72.316	BASE
A0A6B9L1T2_3	1042	83.189	BASE
A0A8S5QTV2_1	273	46.314	BASE
A0A8S5QTV2_2	828	80.591	BASE
A0A8S5QTV2_3	476	72.516	BASE
A0A6M9BMI9_1	64	26.514	BASE
A0A2H4QGG8_1	54	46.428	BASE
A0A2H4QGG8_2	439	68.339	BASE
A0A516LAZ3_1	83	48.269	BASE
A0A516LAZ3_2	297	68.604	BASE
A0A1L3KJ61_1	262	61.717	BASE
A0A1L3KJ61_2	643	76.667	BASE
A0A516M5T8_1	3361	71.2	BASE
A0A516M5T8_2	2643	82.306	BASE
A0A8E4USI3_1	1932	68.742	BASE
A0A8E4USI3_2	1630	70.85	BASE
A0A8K1XFJ7_2	729	81.221	BASE
A0A8S5RTY8_1	296	60.046	BASE
A0A8S5RTY8_2	268	62.794	BASE
A0A5K7XYL5_1	478	59.463	BASE
A0A5K7XYL5_2	187	48.326	BASE
A0A8S5R5J9_1	212	54.947	BASE
A0A8S5R5J9_2	133	72.914	BASE
A0A7R8V7H9_1	624	64.279	BASE
A0A7R8V7H9_2	334	68.514	BASE
A0A5J6VKA6_2	5	27.63	BASE
A0A6J5NCA8_1	598	51.948	BASE
A0A6J5NCA8_2	180	71.594	BASE
A0A1B1X400_1	53	48.932	BASE
A0A1B1X400_2	39	46.772	BASE
A0A2I6UH82_1	538	42.229	BASE
A0A2I6UH82_2	396	54.292	BASE
A0A6M3YNZ0_1	74	58.796	BASE
A0A6M3YNZ0_2	4006	76.03	BASE
A0A8F5MJN9_1	41	82.378	BASE
A0A8K1XW28_2	32	57.448	BASE
A0A6M9BJX2_1	37	35.748	BASE
A0A6J5KPQ2_1	5013	66.3	BASE
A0A6J5KPQ2_2	1776	79.896	BASE
A0A1L3KHI9_1	165	59.855	BASE
A0A1L3KHI9_2	1449	58.813	BASE
A0A7R8Z607_1	215	53.365	BASE
A0A7R8Z607_2	1390	71.81	BASE
A0A1P8J7T2_1	205	66.016	BASE
A0A1P8J7T2_2	571	76.458	BASE
A0A1B1W1F5_1	102	59.879	BASE
A0A1B1W1F5_2	339	63.243	BASE
A0A7D5G173_2	87	67.981	BASE
A0A481W6A0_1	2652	76.753	BASE
A0A481W6A0_2	2242	68.235	BASE
A0A6J5T3S3_1	5625	63.619	BASE
A0A6J5T3S3_2	4441	57.273	BASE
A0A1L3KMU5_1	225	84.713	BASE
A0A514DBI0_1	74	52.561	BASE
A0A514DBI0_2	69	48.865	BASE
A0A886NH67_1	615	64.66	BASE
A0A886NH67_2	381	60.29	BASE
A0A076FGK1_1	47	51.609	BASE
A0A076FGK1_2	4301	75.036	BASE
A0A8K1XCI7_1	175	86.126	BASE
A0A8K1XCI7_2	32	40.359	BASE
A0A8G1GKY5_1	2302	86.2	BASE
A0A8G1GKY5_2	147	66.334	BASE
A0A8K1XGY9_1	150	62.736	BASE
A0A8K1XGY9_2	96	51.679	BASE
A0A1B2RVN4_1	309	65.664	BASE
A0A1B2RVN4_2	39	74.156	BASE
A0A858HPP9_1	1969	78.616	BASE
A0A858HPP9_2	1662	70.612	BASE
A0A346RSR8_1	237	85.054	BASE
A0A6J5KN60_1	2105	86.374	BASE
A0A6J5KN60_2	1225	79.521	BASE
A0A5J6VNH1_1	1325	74.605	BASE
A0A5J6VNH1_2	1582	76.625	BASE
A0A1L3KN72_1	105	86.697	BASE
A0A8S5SVY5_1	870	70.161	BASE
A0A8S5SVY5_2	54	58.333	BASE
Q38319_1	3007	83.536	BASE
Q38319_2	2016	79.015	BASE
A0A516LU35_1	3290	78.988	BASE
A0A516LU35_2	3737	85.206	BASE
A0A1B1X3Y1_1	70	70.723	BASE
A0A1B1X3Y1_2	479	74.965	BASE
A0A499SF51_1	249	52.219	BASE
A0A499SF51_2	48	42.703	BASE
A0A6B9L9H2_1	883	45.807	BASE
A0A6B9L9H2_2	784	45.649	BASE
A0A345MPX2_1	415	50.98	BASE
A0A345MPX2_2	130	47.11	BASE
A0A1L3KM76_1	150	49.773	BASE
A0A1L3KM76_2	485	81.885	BASE
A0A6J5QPW5_1	1077	77.426	BASE
A0A679GCZ2_1	370	66.268	BASE
A0A679GCZ2_2	2184	86.178	BASE
Q98645_1	39	42.521	BASE
Q98645_2	420	85.925	BASE
A0A1L3KNM2_1	62	58.299	BASE
A0A1L3KNM2_2	680	87.188	BASE
A0A516L6N5_1	64	46.528	BASE
A0A516L6N5_2	69	55.82	BASE
A0A516LLI8_1	107	27.219	BASE
A0A516LLI8_2	526	59.648	BASE
Q5UQR4_1	1243	85.378	BASE
Q5UQR4_2	760	79.793	BASE
A0A3G3M1L8_1	524	61.537	BASE
A0A3G3M1L8_2	639	45.703	BASE
UPI001E6AE1CA_1	2143	64.566	BASE
A0A7G8ZZ39_1	243	69.403	BASE
A0A7G8ZZ39_2	3937	86.425	BASE
A0A6J5KKT3_1	6743	59.613	BASE
A0A6J5KKT3_2	8086	53.866	BASE
A0A481Z7M3	370	66.077	BASE
A0A096XNI6	909	75.581	BASE
H6WFW8	261	55.962	BASE
A0A481ZCA8	379	59.156	BASE
A0A6J5NJD3	1093	57.173	BASE
E0A3Q9	177	55.781	BASE
A0A7T5QZC3	1518	71.787	BASE
UPI001E7AD05D	7160	60.431	BASE
Q6R7H7	72	36.268	BASE
A0A1L3KPB9	39	29.692	BASE
A0A7G9W2I4	2827	63.963	BASE
G4KK38	924	84.133	BASE
A0A866VSN6	32	37.631	BASE
A0A218NJT3	271	63.262	BASE
A0A0B5JB83	8756	63.382	BASE
UPI000269ADAD	101	54.776	BASE
A0A4D5XFI7	763	79.432	BASE
A0A5P8D3V6	263	74.626	BASE
A0A6J5MD18	2321	56.957	BASE
A0A481Z4W0	5670	71.652	BASE
A0A6J5RHW8	1451	72.791	BASE
A0A5S9EQN3	706	61.512	BASE
A0A7M1RY77	208	73.69	BASE
A0A8E5NQY2	8735	53.9	BASE
A0A873WS52	1471	48.71	BASE
A0A6N3IKH5	7555	85.72	BASE
A0A6J5PG64	2258	53.32	BASE
A0A7S6Z316	303	60.223	BASE
A0A2U7UEN8	288	35.584	BASE
A0A3G4ZPV6	5694	83.948	BASE
A0A6L1C847	42	47.563	BASE
S5VZQ9	347	79.348	BASE
A0A679L907	5067	69.612	BASE
A0A7T1LYR9	239	66.167	BASE
A0A6G7KU68	29	33.038	BASE
A0A8F6U9S7	1786	63.241	BASE
A0A1W6DWZ2	1251	58.796	BASE
A0A060BK83	100	32.619	BASE
A0A0K1Y7J7	56	46.221	BASE
Q91N47	797	66.152	BASE
F8TE35	400	82.906	BASE
B5LJA0	260	44.715	BASE
A0A482MI00	3470	80.618	BASE
A0A6J5LI78	1330	84.434	BASE
A0A481Z556	4979	79.022	BASE
A0A1L3KFK3	268	70.029	BASE
A0A1L3KFZ4	197	68.411	BASE
A0A514D695	260	66.936	BASE
A0A7S9XGR3	319	69.873	BASE
A0A8S5QI27	3243	57.027	BASE
A0A6J5KSD7	2839	68.996	BASE
E0D3E8	53	55.129	BASE
A0A8S5U5P4	704	56.436	BASE
A0A6J5MUW5	137	47.052	BASE
A0A2U9GCX3	46	36.416	BASE
A0A8S5QT14	910	62.985	BASE
A0A7G4AW06	2183	80.598	BASE
A0A3G5A3K7	896	66.506	BASE
A0A6J7X3M0	8761	72.529	BASE
A0A6J5QA63	554	47.476	BASE
R4T6E8	172	52.879	BASE
A0A2H5BPB8	2416	82.055	BASE
M1HLS3	10401	72.06	BASE
A0A7D0PIY0	255	59.472	BASE
A0A2V0A0C7	142	80.586	BASE
A0A189RMK5	50	63.175	BASE
A0A8S5R9E2	1093	43.651	BASE
A0A6J7X2N4	6960	70.104	BASE
U5PUV5	1728	72.689	BASE
A0A1L3KIH6	43	68.832	BASE
V5LQN2	373	42.902	BASE
A0A8S5T1F2	1596	79.913	BASE
A0A6G6ABY8	6181	47.439	BASE
A0A8D9FRJ9	185	67.203	BASE
A0A6J5SG50	4171	82.5	BASE
M1HEL4	1036	62.187	BASE
A0A5Q2W8R9	1383	76.941	BASE
A0A248SJK8	1487	56.128	BASE
A0A1V0SFU4	524	69.309	BASE
G4YB17	266	44.441	BASE
A0A516KVJ9	65	77.845	BASE
W5SB45	1406	85.13	BASE
A0A7T0Q5T3	463	86.016	BASE
Q91N49	21123	57.421	BASE
A0A8E4XVM6	6830	82.223	BASE
A0A3G4ZLX7	5172	72.492	BASE
H2EBH7	1112	78.279	BASE
A0A8S5QS94	1615	57.237	BASE
A0A0K0LAR6	701	62.944	BASE
E3T5T6	1408	85.161	BASE
A0A0S2KP77	36	48.463	BASE
A0A146J6L7	154	80.851	BASE
A0A3G5A7D9	23567	85.116	BASE
A0A516KWF9	2052	50.26	BASE
A0A6J5N6H7	448	57.429	BASE
A0A346G464	63	36.087	BASE
A0A8S5SYY5	9495	52.692	BASE
Q9DWE3	109	76.633	BASE
A0A2I7QKA3	770	71.803	BASE
I6TMB7	803	72.586	BASE
A0A6F8PHW9	8	27.081	BASE
UPI001E76FEA4	61	66.925	BASE
P21405	739	80.29	BASE
A0A481Z006	144	69.361	BASE
A0A894KNI7	40	45.641	BASE
A0A1L3KP56	71	72.953	BASE
A0A6J7WUQ6	974	55.798	BASE
F9VHL0	361	55.298	BASE
A0A221LFC1	118	58.487	BASE
M1ICY3	144	72.535	BASE
A0A3G2KBS4	676	83.279	BASE
A0A8S5SGA6	514	74.55	BASE
A0A0B5J6A8	14915	63.827	BASE
A0A8S5VEC9	2840	76.022	BASE
M9PKD4	7480	65.326	BASE
A0A6J5M802	1042	82.424	BASE
A0A6G5Y3K4	482	80.641	BASE
UPI001F145521	440	76.321	BASE
A0A6J5N430	7640	57.086	BASE
A0A2I7QUH3	50	51.291	BASE
A0A8E5NQ77	458	69.93	BASE
A0A146JHM2	203	74.112	BASE
A0A6B9Q4X1	31	44.484	BASE
R4KWH5	7029	83.332	BASE
A0A0N7FYY6	1498	79.321	BASE
A0A1B1IWK1	1298	72.638	BASE
A0A8S5TLQ8	69	62.914	BASE
A0A8S5MX71	152	85.719	BASE
A0A6J5PL79	135	58.655	BASE
S0A572	526	60.703	BASE
A0A6J5SZ71	21577	54.452	BASE
A0A0B5J1W9	70	43.833	BASE
A0A6C0X1U5	76	64.833	BASE
A0A120I2S3	97	73.194	BASE
A0A8E5HZL6	3904	50.826	BASE
UPI000018F66F	19	36.522	BASE
A0A8S5U1I6	915	78.663	BASE
A0A6J5KZ09	109	64.49	BASE
A0A1V0SAB0	231	77.114	BASE
A0A6N1NF17	7568	65.491	BASE
A0A1V0QGA7	63	52.442	BASE
A0A481YTJ6	7905	47.664	BASE
A0A516L4J2	934	62.088	BASE
A0A0P0YN24	12999	87.978	BASE
A0A1L3KNV5	34	25.896	BASE
A0A1V0SHS3	3023	80.904	BASE
A0A6J7WJ61	3417	76.6	BASE
B0ZSH1	2006	62.657	BASE
A0A6M3BJQ8	1854	85.957	BASE
A0A068QLQ9	949	64.486	BASE
A0A4Y5TXB1	279	80.061	BASE
A0A2I7QK49	376	82.268	BASE
A0A6J5LY76	2537	60.091	BASE
E7DDJ4	8847	48.105	BASE
A0A291ATJ1	112	72.684	BASE
A0A2I7RRX1	992	54.097	BASE
A0A7T0M3M0	228	85.2	BASE
A0A8S5MLX5	5039	83.866	BASE
A0A6J5QBF8	372	40.769	BASE
A0A0X9NF55	6311	40.081	BASE
A0A8D4GM15	1302	85.421	BASE
A0A173DQC4	564	35.749	BASE
A0A8D9PE44	2811	42.641	BASE
Q84574	34	44.334	BASE
F8TV64	7136	69.065	BASE
A0A6J7WFL2	1064	77.674	BASE
A0A2S1PFW3	2631	78.136	BASE
A0A516L6X6	867	73.719	BASE
A0A0U4BBX7	52	72.309	BASE
A0A5K0UBG6	4718	83.742	BASE
A0A649VA31	10697	78.24	BASE
A0A8S5N406	1138	77.036	BASE
A0A7S5V1T3	6448	74.346	BASE
E3T5F4	702	87.156	BASE
A0A1W6EUV4	107	53.983	BASE
A0A1L3KLA5	50	59.65	BASE
A0A650AJI3	407	59.092	BASE
A0A7S5YB49	6478	85.252	BASE
G9BWG4	71	64.971	BASE
A0A5K0U984	237	34.644	BASE
A0A142D848	1491	42.553	BASE
A0A1L3KE45	153	53.866	BASE
A0A516M927	7741	85.29	BASE
A0A0E3T980	8078	86.759	BASE
A0A8F3CIP5	36	34.789	BASE
A0A7D5JLN5	3196	77.939	BASE
A0A8D4GLX8	1931	60.281	BASE
A0A223FN18	860	63.455	BASE
E5EQY7	802	59.962	BASE
A0A6J5S5B8	3995	38.995	BASE
A0A481Z5C1	1822	70.199	BASE
A0A6B7EQW8	314	67.323	BASE
A0A6J5ND39	2900	89.322	BASE
L0CQ12	2020	76.796	BASE
A0A6J5PZM6	270	61.594	BASE
A0A8F1D6A4	856	63.258	BASE
A0A6G5YIJ7	511	83.177	BASE
J7F8X3	52	46.123	BASE
A0A343FNE2	98	76.734	BASE
A0A2Z4Q4H2	1623	78.6	BASE
A0A8D9PEA9	703	53.262	BASE
A0A6B9EP84	48	59.158	BASE
A0A481YRH1	2625	85.217	BASE
A0A7S5REQ2	1713	87.393	BASE
A0A5K0U7H4	1214	67.153	BASE
A0A481YX06	1173	78.376	BASE
A0A514TUI0	76	34.537	BASE
A0A514D2X9	498	75.991	BASE
A0A8K1M4N2	211	75.056	BASE
A0A514CZR9	56	56.603	BASE
A0A067XQM9	2463	83.565	BASE
A0A385IT49	5043	66.809	BASE
D0U228	878	81.648	BASE
A0A6J5RS61	4484	76.888	BASE
A0A2P1JTV5	782	75.026	BASE
A0A345MNC6	307	77.216	BASE
H2EB89	3366	86.999	BASE
A0A6J5S9T2	6395	82.424	BASE
A0A6J5KW76	7481	70.721	BASE
A0A889IQS2	334	86.612	BASE
A0A8S5N3I6	208	49.272	BASE
A0A6J7WSR8	2253	59.069	BASE
A0A6B9J044	253	71.007	BASE
A0A4P8DXL0	539	66.998	BASE
A0A6J5M0Y1	1115	61.023	BASE
A0A6F8QHB1	77	70.586	BASE
Q5GQC9	8517	56.074	BASE
A0A5K0UB27	102	29.773	BASE
A0A6J5QDW7	892	71.852	BASE
A0A6M4C6L7	46	63.399	BASE
A0A8E5EUE1	35	28.714	BASE
A0A7D7EY19	92	75.821	BASE
A0A5B8GNZ6	741	80.512	BASE
A3QTY4	1338	86.331	BASE
A0A2Z4Q9Y2	171	76.616	BASE
A0A2H5BQ92	57	29.933	BASE
A0A060BKX5	932	80.887	BASE
A0A6F8ZKK6	70	74.947	BASE
A0A6J5L3L2	605	86.969	BASE
A0A2I7S3J3	151	47.029	BASE
A0A076GC70	219	58.205	BASE
A0A6J5Q3V3	449	54.924	BASE
E3T4W8	10975	72.692	BASE
D9J0S5	5591	87.195	BASE
A0A8S5V3E7	40	70.229	BASE
A0A0U2LZD8	43	65.741	BASE
A0A1L3KIT8	48	55.787	BASE
A0A514D3A7	255	48.66	BASE
A0A7D5JV66	872	70.148	BASE
A0A6M9YZB9	4061	46.794	BASE
A0A6J5MQD2	5591	76.01	BASE
A0A5K0U9P4	190	58.09	BASE
A0A7D3QK04	369	49.413	BASE
A0A5K7NJH2	5630	88.472	BASE
A0A1E1GDT2	1699	88.123	BASE
A0A3G5AG85	119	54.479	BASE
A0A6J5MYY5	638	74.518	BASE
A0A1S6JLR2	132	71.891	BASE
A0A7G7Y7Y2	2507	50.932	BASE
S0A5K4	1683	85.666	BASE
A0A191KCP3	861	78.182	BASE
A0A6J5SL22	1209	84.793	BASE
A0A1L3KKP6	144	73.468	BASE
A0A3G4ZMJ7	4631	65.692	BASE
A0A5K0U943	374	45.833	BASE
A0A8S5N477	2095	63.834	BASE
A0A7S8BET7	4156	68.914	BASE
A0A481YQQ6	4331	82.625	BASE
A0A6J5LV95	134	86.015	BASE
A0A6G6XX42	878	62.958	BASE
A0A2H5BMW9	34	76.528	BASE
E0YIU5	3477	82.844	BASE
A0A7S5RB23	2092	59.27	BASE
W8SKS6	101	47.145	BASE
A0A1V0SJ89	860	82.404	BASE
A0A220T6B2	184	83.249	BASE
A0A0K2QQN5	280	68.062	BASE
G4KK35	143	43.496	BASE
A0A221LEC7	355	32.147	BASE
A0A2H4P717	1219	81.303	BASE
A0A481YNZ3	2013	57.718	BASE
A6MAE0	40	37.86	BASE
A0A7S5VV04	46	36.505	BASE
A0A7U3W8K2	125	85.11	BASE
A0A8K1U409	184	81.531	BASE
A0A8S5Q089	1702	74.542	BASE
A0A6J5NGX5	382	67.905	BASE
A0A2U7UBX3	34	48.395	BASE
A0A679EMT3	424	64.543	BASE
A0A6J7XIG4	4781	86.806	BASE
A0A8F5MKW1	103	80.093	BASE
A0A6J5PQI9	2284	64.929	BASE
A0A1V0SFX0	44	41.037	BASE
A0A6J5L2F7	295	71.263	BASE
A0A650BY64	49	71.046	BASE
A0A3Q8HYR6	252	28.227	BASE
A0A7M3UNW9	196	70.561	BASE
A0A6B9WR65	2670	88.644	BASE
A0A8F1SXZ4	307	76.474	BASE
R9VX33	4669	87.23	BASE
A0A7M1RWY7	232	48.292	BASE
A0A2I7RSK7	7550	63.861	BASE
A0A2I7QVV3	35	56.109	BASE
A0A5J6VIN2	12898	85.695	BASE
A0A2P0VP88	722	57.615	BASE
A0A1L7DQU7	1366	76.315	BASE
A0A6J5LB48	595	77.789	BASE
A0A6J5QE38	3932	60.945	BASE
A0A6J5KKT8	19243	69.485	BASE
A0A8S5Q5T9	734	86.263	BASE
E4WLN2	232	78.383	BASE
A0A2H4UVK5	7429	55.668	BASE
A0A109QRE6	77	32.427	BASE
I3VPY5	4	31.26	BASE
A0A6J5RLL3	200	68.479	BASE
A0A5K0UAR8	16800	85.476	BASE
A0A6G5Y587	1302	85.299	BASE
A0A2I7RWJ5	221	85.261	BASE
A0A345N007	4047	65.491	BASE
A0A7T4V7D7	33	40.207	BASE
A0A6J5MQB1	2253	78.657	BASE
A0A8S5PQ84	758	65.263	BASE
A0A6J5SHK5	1567	75.323	BASE
A0A6J5QPF9	47	71.76	BASE
A0A8S5VHJ3	595	57.673	BASE
A9Q1Q4	123	88.545	BASE
Q80875	282	77.593	BASE
G3MB84	1250	67.862	BASE
A0A481YZB0	81	81.821	BASE
S5R9W7	38	52.187	BASE
A0A1L3KEX1	1807	57.612	BASE
A0A1B1IQ72	138	41.8	BASE
A0A5J6VK65	201	79.805	BASE
A0A5B9N8M5	1242	52.576	BASE
H9D1H8	195	66.195	BASE
A0A5E3ZZW1	45	54.692	BASE
A0A0M3LCY3	44	27.498	BASE
A7KUP0	1172	81.193	BASE
A0A8S5N668	43	65.442	BASE
A0A516LR33	62	67.815	BASE
A0A6G9KIH6	151	28.846	BASE
A0A0A7NQU3	369	62.816	BASE
A0A141HSB0	1383	85.428	BASE
A0A5C1K9B9	4511	78.003	BASE
A0A8S5T107	34	54.775	BASE
A0A6J7XAL4	88	62.554	BASE
A0A6J7XFY8	1351	54.875	BASE
A0A811A996	4	39.349	BASE
UPI001E72ADA4	186	88.059	BASE
S0A0Y9	1662	74.927	BASE
A0A649V4F5	327	71.988	BASE
A0A481Z1M5	434	91.29	BASE
A0A455W943	128	73.69	BASE
A0A2I7SAV4	85	36.962	BASE
A0A6J7X8D2	1010	74.888	BASE
A0A8F8KNF1	760	42.758	BASE
A0A0E3T661	345	70.769	BASE
A0A1B1IUW8	14443	67.331	BASE
A0A8S5PCJ8	1635	88.289	BASE
A0A6J5RJI2	4204	71.501	BASE
A0A8F6UAZ9	6772	73.737	BASE
A0A8S5S2G8	3213	66.482	BASE
A0A1V0SL87	274	68.854	BASE
A0A8S5R3Z6	2188	62.056	BASE
A0A5K0U9F6	564	72.394	BASE
I3VQF5	69	63.896	BASE
A0A4Y5TS79	2730	87.258	BASE
A0A6J7WBU5	434	51.356	BASE
E2FGB0	1037	62.658	BASE
A0A6J5PV12	3357	65.469	BASE
A0A8K1TMT6	509	56.04	BASE
A0A401IP42	62	64.302	BASE
A0A0H4J2K9	1277	88.045	BASE
A0A516KMY9	4869	85.359	BASE
A0A482JPN5	865	34.724	BASE
A0A7L7YQN4	50	57.159	BASE
A0A857UXN5	31	43.853	BASE
A0A8S5UT83	3990	75.818	BASE
A0A0G2Y178	3680	83.404	BASE
A0A7S9STZ1	873	67.794	BASE
A0A8S5T0J5	3010	68.676	BASE
A0A5K0U9N0	2284	80.897	BASE
A0A481YYZ6	2993	84.018	BASE
A0A8S5UC96	3866	86.426	BASE
A0A3G2VQH3	800	79.637	BASE
A0A1V0SFV1	1236	56.406	BASE
A0A7S9XGI1	41	77.973	BASE
A0A811BNR6	53	68.312	BASE
A0A0P0YMU3	4755	74.641	BASE
A0A8F6YHY6	1179	38.853	BASE
Q80GM8	288	46.788	BASE
A0A5B9N384	724	64.588	BASE
A0A1I7P3A7	208	85.808	BASE
A0A8S5S8N4	773	67.142	BASE
A0A3G5AHZ1	16729	66.018	BASE
I3ULN9	2571	59.563	BASE
A0A0U4IJ26	8918	73.183	BASE
A0A6J7X518	4292	74.917	BASE
A0A8E4IGT0	163	45.961	BASE
A0A6J5P493	1002	87.21	BASE
A0A2Z4QA42	2164	74.415	BASE
A7KUY3	857	59.61	BASE
A0A481TAP5	45	42.799	BASE
A0A6H0DIG6	206	69.518	BASE
A0A6J5NJA4	2672	89.187	BASE
A0A2I7QT31	443	52.551	BASE
A0A2U7UEM6	817	60.366	BASE
A0A482IE14	249	52.739	BASE
A0A3G5A8N2	439	60.536	BASE
A0A6B9US53	5212	79.656	BASE
A0A3G5AHZ3	477	83.72	BASE
A0A3G5A643	7337	88.89	BASE
A0A3G5AJX3	1072	32.533	BASE
A0A3G3BW72	1871	84.822	BASE
A0A481ZD47	919	81.382	BASE
A0A6B9US73	272	38.427	BASE
A0A894KN56	208	64.967	BASE
A0A8E4CUI3	73	76.908	BASE
A0A0P0YN67	2270	71.824	BASE
A0A8S5QZX4	1656	79.981	BASE
A0A516L276	2040	64.816	BASE
Q9YW76	363	85.538	BASE
A0A2U7UBR9	491	71.676	BASE
A0A2Z4QI93	387	77.61	BASE
A0A6J5MN07	90	31.091	BASE
A0A7S6YLB8	37	76.243	BASE
A0A1D8H0E9	5065	88.972	BASE
A0A8F6UAZ2	715	74.429	BASE
A0A8S5RUZ7	855	87.65	BASE
A0A481Z8X6	865	85.115	BASE
A0A3G5A013	502	69.396	BASE
V9QL31	1857	92.488	BASE
A0A3G4ZVX5	237	59.779	BASE
A0A6J5KPQ0	1172	77.201	BASE
A0A8F3FJ62	286	82.15	BASE
